id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23138680,Modern/Clean/Spacious House 2BD (1-4ppl) WanChai,73263619,Joseph,,Wan Chai,22.27881,114.17464,Entire home/apt,798,2,24,2019-06-24,1.41,1,0
23139295,"112 邻近香港大學,1分钟湾仔地铁口, 共享空間+超私隐+单人小天地太空舱.",99505769,Cc,,Wan Chai,22.27784,114.17201,Private room,274,2,14,2019-03-02,0.85,31,39
23149916,ARTOURAGE - Art at Residence & Terrace SYP,50688388,Jane,,Central & Western,22.28363,114.13973,Entire home/apt,1205,2,16,2019-05-05,0.95,2,83
23152264,Modern bright & cozy studio in the heart of HK,35020157,Marina,,Central & Western,22.28448,114.1478,Entire home/apt,1001,2,26,2019-05-12,1.66,1,42
23152827,家居式公寓(RM902),2951562,Short-Term,,Sham Shui Po,22.32774,114.16598,Private room,688,1,1,2018-02-19,0.06,19,0
23153797,郊区空气好的房子,2218604,Kalun,,Southern,22.23921,114.20175,Entire home/apt,704,1,0,,,1,0
23153870,5分鐘到旺角地鐵站 寛敞明亮7人房,67078255,Eunice,,Yau Tsim Mong,22.32123,114.16951,Entire home/apt,688,3,70,2019-06-28,4.15,9,69
23155881,"❤️️ CUTE Studio @ Causeway Bay MTR, Sogo/Hysan ❤️️",6482526,Anton,,Wan Chai,22.27977,114.18566,Entire home/apt,399,2,11,2019-05-17,0.65,1,10
23158346,"Close to ,Airport,Bus stop,MTR,
 Cable car ,outlet",167917125,Gordon,,Islands,22.27784,113.93708,Private room,297,1,22,2019-05-25,1.27,1,17
23159428,整潔小套房,172150925,Annie,,Yuen Long,22.47197,114.05293,Private room,501,2,3,2019-05-04,0.32,2,363
23159456,獨立套房,172150925,Annie,,Yuen Long,22.47307,114.05105,Private room,211,4,1,2018-04-18,0.07,2,113
23165924,Newly# 3 bedroom + 2 bathroom #Apt. near MTR,152939938,Morning,,Yau Tsim Mong,22.30306,114.17449,Entire home/apt,1823,1,32,2019-06-19,1.98,23,148
23170038,Spacious bedroom in 3 storeys village house,169948725,Tabatha,,Islands,22.20542,114.12535,Private room,422,2,24,2019-05-03,1.42,4,41
23170936,"Cozy, brand new, 5 min to MTR and then ICC&Central",51630385,Ashley,,Yau Tsim Mong,22.32178,114.16151,Entire home/apt,798,1,20,2019-04-25,1.27,1,66
23173517,Entire Midlevels apartment - one bedroom - 50% off,18132644,Ian,,Central & Western,22.28196,114.15058,Entire home/apt,649,3,4,2019-04-09,0.26,1,0
